ID, origin_folder, key, plot_subtitle, number_of_drivers, data_or_hypothesis, run_set
results_2026-03-30_19-03, tagged, no_SC, No structural change , baseline, baseline, endo_ME
results_2026-04-16_16-56, tagged, PIK-TFP, Heterogeneous TFP growth rates, one_driver, data_SC, endo_ME
results_2026-03-30_19-13, tagged, CDES, CDES consumption function, one_driver, data_SC, endo_ME
results_2026-03-30_17-18, tagged, KL, KL elasticities, one_driver, data_SC,endo_ME
results_2026-03-30_12-07, tagged, PIK-TFP_CDES_KL, All structural change drivers, all_drivers, data_SC,endo_ME
results_2026-03-31_15-20, drafts, tech-coeff, Services technical coefficients ,one_driver, hypothesis_SC,endo_ME
results_2026-03-31_18-18, drafts, trade, Changes in comparative advantage,one_driver, hypothesis_SC,endo_ME
results_2026-04-17_17-54, drafts, EUKLEMS-TFP_CDES_KL,All structural change drivers, all_drivers, data_SC, endo_ME
results_2026-04-20_15-33, tagged, EUKLEMS-TFP, Heterogeneous TFP growth rates, one_driver, data_SC, exo_ME
results_2026-04-14_17-45, tagged, no_SC, No structural change, baseline, baseline, exo_ME
results_2026-04-15_14-57, tagged, CDES, CDES consumption function, one_driver, data_SC, exo_ME
results_2026-04-20_17-06, tagged, EUKLEMS-TFP, Heterogeneous TFP growth rates, one_driver, data_SC, exo_ME
results_2026-04-20_17-22, tagged, KL, KL elasticities, one_driver, data_SC,exo_ME
results_2026-04-20_17-26, tagged, EUKLEMS-TFP_CDES_KL, All structural change drivers, all_drivers, data_SC, exo_ME
results_2026-04-21_13-58, tagged, trade, Changes in comparative advantage,one_driver, hypothesis_SC,exo_ME
results_2026-04-21_14-00, tagged, tech-coeff, Services technical coefficients ,one_driver, hypothesis_SC,exo_ME
results_2026-04-28_14-49, tagged, no_SC, No structural change, baseline, baseline, corrected_GDPPI